INSCRICAO,SEXO,ESTADO,REGIAO,ESPECIALIDADE,PRESENTE DIA1,CARGO,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,ANO,IDADE
39401645886-1,M,CE,nordeste,teoria da computação,S,Mestrado/Doutorado,3.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2016,27
39401651770-6,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2016,25
39401646018-2,M,GO,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2016,23
39401660754-9,M,SP,sudeste,arquitetura de computadores,S,Mestrado/Doutorado,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,2016,31
39401673697-9,M,PR,sul,redes e sistemas distribuídos,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2016,35
39401683945-5,M,SE,nordeste,banco de dados,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2016,32
39401640817-2,M,CE,nordeste,engenharia de software,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2016,27
39401672687-4,M,RS,sul,inteligência artificial,S,Mestrado/Doutorado,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,2016,29
39401670914-6,F,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2016,31
39401673403-0,F,RJ,sudeste,banco de dados,S,Mestrado/Doutorado,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2016,39
