SEXO,ESTADO,ESPECIALIDADE,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,IDADE,matematica,fund_computacao,tec_computacao,total,linhas_pesquisas,area_concentration,REGIAO
M,CE,aplicações computacionais,3.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,27,14.0,21.0,10.0,45.0,linhas concentradas,informatica,nordeste
M,RS,metodologias e técnicas de computação,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,21,16.0,22.0,12.0,50.0,redes de computadores,computacao,sul
M,SP,engenharia de software,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,25,4.0,16.0,8.0,28.0,engenharia de software,informatica,sudeste
M,PA,sistemas de informação,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,30,4.0,13.0,7.0,24.0,redes de computadores,computacao,norte
F,AM,aplicações computacionais,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,19,6.0,15.0,11.0,32.0,linhas concentradas,informatica,norte
M,MS,sistemas de computação,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,21,12.0,20.0,11.0,43.0,linhas concentradas,informatica,centro_oeste
M,PB,metodologias e técnicas de computação,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,25,9.0,17.0,11.0,37.0,redes de computadores,computacao,nordeste
M,GO,inteligência artificial,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,23,7.0,15.0,4.0,26.0,inteligência artificial,computacao,centro_oeste
M,RN,aplicações computacionais,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,27,5.0,16.0,3.0,24.0,linhas concentradas,informatica,nordeste
M,SP,aplicações computacionais,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,31,5.0,14.0,8.0,27.0,linhas concentradas,informatica,sudeste
M,PR,visão computacional,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,31,5.0,10.0,3.0,18.0,redes de computadores,computacao,sul
