SEXO,ESTADO,ESPECIALIDADE,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,IDADE,matematica,fund_computacao,tec_computacao,total,REGIAO
M,RS,metodologias e técnicas de computação,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,21,16.0,22.0,12.0,50.0,sul
M,SP,engenharia de software,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,25,4.0,16.0,8.0,28.0,sudeste
M,PA,sistemas de informação,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,30,4.0,13.0,7.0,24.0,norte
M,MS,sistemas de computação,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,21,12.0,20.0,11.0,43.0,centro_oeste
M,PB,metodologias e técnicas de computação,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,25,9.0,17.0,11.0,37.0,nordeste
M,GO,inteligência artificial,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,23,7.0,15.0,4.0,26.0,centro_oeste
M,PR,visão computacional,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,31,5.0,10.0,3.0,18.0,sul
M,PR,redes de computadores,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,35,5.0,12.0,6.0,23.0,sul
M,MG,sistemas de computação,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,23,19.0,21.0,12.0,52.0,sudeste
M,SE,banco de dados,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,32,9.0,15.0,15.0,39.0,nordeste
M,CE,engenharia de software,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,27,11.0,14.0,9.0,34.0,nordeste
M,RS,inteligência artificial,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,29,17.0,23.0,13.0,53.0,sul
F,GO,engenharia de software,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,31,6.0,10.0,7.0,23.0,centro_oeste
F,RJ,banco de dados,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,39,6.0,8.0,6.0,20.0,sudeste
M,PR,redes de computadores,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,28,6.0,13.0,6.0,25.0,sul
M,SP,redes de computadores,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,25,7.0,19.0,6.0,32.0,sudeste
M,SC,engenharia de software,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,38,8.0,15.0,8.0,31.0,sul
M,SP,inteligência artificial,0.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,25,9.0,13.0,7.0,29.0,sudeste
M,SP,banco de dados,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,24,11.0,16.0,8.0,35.0,sudeste
M,CE,sistemas de computação,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23,9.0,11.0,6.0,26.0,nordeste
M,MS,engenharia de software,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,23,4.0,17.0,8.0,29.0,centro_oeste
M,MT,inteligência artificial,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,24,6.0,18.0,9.0,33.0,centro_oeste
M,RS,computação aplicada,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,29,7.0,11.0,7.0,25.0,sul
M,SP,banco de dados,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,27,7.0,20.0,7.0,34.0,sudeste
M,MG,banco de dados,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,29,6.0,11.0,8.0,25.0,sudeste
M,SP,visão computacional,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,26,7.0,14.0,4.0,25.0,sudeste
M,PR,redes de computadores,2.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,49,10.0,13.0,4.0,27.0,sul
M,PB,metodologias e técnicas de computação,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,30,4.0,15.0,4.0,23.0,nordeste
M,PI,sistemas de computação,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37,5.0,15.0,3.0,23.0,nordeste
M,MA,computação aplicada,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,21,4.0,14.0,5.0,23.0,nordeste
M,PR,engenharia de software,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,30,6.0,16.0,12.0,34.0,sul
M,PR,engenharia de software,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,26,7.0,13.0,8.0,28.0,sul
M,MG,metodologias e técnicas de computação,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,27,6.0,12.0,5.0,23.0,sudeste
M,MA,sistemas de computação,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,29,7.0,13.0,12.0,32.0,nordeste
M,AM,sistemas embarcados,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25,5.0,15.0,2.0,22.0,norte
M,CE,visão computacional,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,21,13.0,17.0,9.0,39.0,nordeste
M,MS,engenharia de software,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,39,7.0,13.0,6.0,26.0,centro_oeste
M,MT,redes de computadores,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,22,6.0,17.0,7.0,30.0,centro_oeste
F,AL,sistemas de computação,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,25,8.0,11.0,8.0,27.0,nordeste
M,PB,sistemas de computação,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,26,5.0,16.0,5.0,26.0,nordeste
M,PA,sistemas embarcados,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,29,7.0,17.0,8.0,32.0,norte
