,INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
0,39401673171-6,M,Arequipa,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
1,39401645886-1,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
2,39401663587-8,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
3,39401651770-6,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
4,39401671273-0,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
5,39402640298-8,M,Cuiabá,MT,2-Autoavaliação,2,Cuiabá - MT,2016
6,39401684751-5,F,Manaus,AM,1-Mestrado/Doutorado,1,Manaus - AM,2016
7,39402648273-2,M,São Paulo,SP,2-Autoavaliação,2,São Paulo - SP,2016
8,39401670049-5,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
9,39401659559-6,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
10,39401665284-9,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
11,39401646018-2,M,Mineiros,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
12,39401673877-7,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
13,39401638837-4,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró - RN,2016
14,39401660754-9,M,Pederneiras,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
15,39401668559-5,M,Fazenda Rio Grande,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
16,39401652592-4,M,Franco da Rocha,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
17,39401673697-9,M,Ponta Grossa,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
18,39401656929-1,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
19,39402684486-1,M,Embu das Artes,SP,2-Autoavaliação,2,São Paulo - SP,2016
20,39401668469-6,M,Viçosa,MG,1-Mestrado/Doutorado,1,Viçosa - MG,2016
21,39401683945-5,M,Aracaju,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
22,39401640817-2,M,Maracanaú,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
23,39401672687-4,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
24,39401670914-6,F,Caiapônia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
25,39401684368-4,F,Recife,PE,1-Mestrado/Doutorado,1,Campinas - SP,2016
26,39401685041-2,F,Guarulhos,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
27,39401636192-0,F,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória - ES,2016
28,39401641939-2,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
29,39401639220-9,F,Ilhéus,BA,1-Mestrado/Doutorado,1,Salvador - BA,2016
30,39401673403-0,F,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
31,39401635126-6,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
32,39401648230-6,M,Várzea Grande,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
33,39401669447-6,M,Arapiraca,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
34,39401654892-9,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
35,39402672370-8,M,Rio de Janeiro,RJ,2-Autoavaliação,2,Rio de Janeiro - RJ,2016
36,39401650146-1,M,Santo André,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
37,39401640424-1,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
38,39401636601-2,M,São José,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39,39401672794-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
40,39401660726-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
41,39401642891-0,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
42,39401672387-2,M,Catanduva,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
43,39401638792-6,M,Icó,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
44,39401661226-4,M,Alegrete,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2016
45,39401671086-4,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
46,39401661866-0,M,Jaú,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
47,39401642551-6,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
48,39401639853-7,M,Três Lagoas,MS,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
49,39401682161-7,M,Timbó,SC,1-Mestrado/Doutorado,1,Joinville - SC,2016
50,39401661261-7,M,Barra do Garças,MT,1-Mestrado/Doutorado,1,Goiânia - GO,2016
51,39401684426-9,M,Cruz Alta,RS,1-Mestrado/Doutorado,1,Cascavel - PR,2016
52,39402670349-0,M,São Carlos,SP,2-Autoavaliação,2,São Carlos - SP,2016
53,39401672747-9,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
54,39401641172-7,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
55,39401641450-2,M,Florestal,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
56,39401670721-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
57,39401673519-6,F,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
58,39401670225-3,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
59,39401638586-3,M,Araçagi,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2016
60,39401666672-6,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
61,39401659624-9,M,Santa Isabel do Pará,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
62,39401672683-4,M,Codó,MA,1-Mestrado/Doutorado,1,Teresina - PI,2016
63,39401664163-9,F,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
64,39401679008-0,M,Foz do Iguaçu,PR,1-Mestrado/Doutorado,1,Foz do Iguaçu - PR,2016
65,39401672933-5,M,Pato Branco,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
66,39401683053-8,M,Porto Feliz,SP,1-Mestrado/Doutorado,1,Campinas - SP,2016
67,39401665720-6,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Vitória da Conquista - BA,2016
68,39401670800-0,M,Sabará,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
69,39401683173-1,M,São José de Ribamar,MA,1-Mestrado/Doutorado,1,Imperatriz - MA,2016
70,39402669789-4,M,São João Del Rei,MG,2-Autoavaliação,2,Lavras - MG,2016
71,39401639884-1,M,Senador Canedo,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
72,39401636687-8,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
73,39401675231-3,M,Ponta Porã,MS,1-Mestrado/Doutorado,1,Ponta Porã - MS,2016
74,39401669402-3,M,Silves,AM,1-Mestrado/Doutorado,1,Manaus - AM,2016
75,39402667185-8,M,Foz do Iguaçu,PR,2-Autoavaliação,2,Foz do Iguaçu - PR,2016
76,39401641356-5,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
77,39401666457-5,M,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2016
78,39401671508-5,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Londrina - PR,2016
79,39401683436-0,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
80,39401684216-6,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
81,39401673844-2,F,Simão Dias,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
82,39401637996-4,F,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
83,39402662491-6,F,Teresina,PI,2-Autoavaliação,2,Teresina - PI,2016
84,39401653919-4,M,Niterói,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
85,39401653499-3,M,Palmares,PE,1-Mestrado/Doutorado,1,Maceió - AL,2016
86,39401671255-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
87,39401635567-8,M,Valinhos,SP,1-Mestrado/Doutorado,1,Campinas - SP,2016
88,39401673283-1,F,Picos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
89,39401662555-7,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
90,39402648778-9,M,Dourados,MS,2-Autoavaliação,2,Ponta Porã - MS,2016
91,39401636007-9,M,São Cristóvão,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
92,39401642623-9,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
93,39401657911-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
94,39401673688-0,F,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
95,39401674007-8,M,São José do Rio Pardo,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2016
96,39401636220-0,M,Presidente Epitácio,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2016
97,39401657592-6,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
98,39401672870-0,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
99,39401670869-0,M,Arequipa,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
100,39401673975-4,M,Pouso Alegre,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2016
101,39401639957-4,M,Chapecó,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2016
102,39401678753-5,F,Bauru,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
103,39401684620-3,F,Guarapuava,PR,1-Mestrado/Doutorado,1,Cascavel - PR,2016
104,39401683850-6,F,São José dos Campos,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2016
105,39401647737-6,F,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
106,39401657015-4,F,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2016
107,39401682501-7,M,Nova Mutum,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
108,39402685185-6,M,Ponta Grossa,PR,2-Autoavaliação,2,Curitiba - PR,2016
109,39401658905-8,M,Brasília,DF,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
110,39401670286-2,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
111,39401668410-5,M,Itaúna,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
112,39401664910-6,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
113,39401635988-3,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
114,39401660060-6,M,Ilha Solteira,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
115,39401666918-9,M,Alfredo Marcondes,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2016
116,39402645132-3,M,Apucarana,PR,2-Autoavaliação,2,Londrina - PR,2016
117,39401666016-3,M,São João do Sabugi,RN,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
118,39401636313-9,M,Joinville,SC,1-Mestrado/Doutorado,1,Manaus - AM,2016
119,39401660234-6,M,Tacna,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
120,39401641185-5,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró - RN,2016
121,39401650123-5,M,Bayeux,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2016
122,39401669832-7,M,Jaguarão,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
123,39401674709-9,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
124,39401651081-3,M,Jaraguá do Sul,SC,1-Mestrado/Doutorado,1,Joinville - SC,2016
125,39402668944-0,M,Lages,SC,2-Autoavaliação,2,Curitiba - PR,2016
126,39401639875-3,M,Bagé,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
127,39401651774-6,M,Itapecerica da Serra,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
128,39401659759-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
129,39401685158-8,M,Guarapuava,PR,1-Mestrado/Doutorado,1,Foz do Iguaçu - PR,2016
130,39401669827-9,M,Coxim,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
131,39401683416-4,M,AREQUIPA,SP,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
132,39401640340-0,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
133,39401642829-3,M,Dracena,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2016
134,39401655004-3,M,Cascavel,PR,1-Mestrado/Doutorado,1,Cascavel - PR,2016
135,39401642690-6,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
136,39401635607-6,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
137,39401670356-5,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
138,39402684349-1,M,Juiz de Fora,MG,2-Autoavaliação,2,Juiz de Fora - MG,2016
139,39401665774-7,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
140,39401639887-1,M,Marília,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
141,39401640820-0,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2016
142,39401635888-6,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
143,39401664389-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
144,39401640847-7,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
145,39401642571-2,M,Ribeirão Preto,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2016
146,39401670632-0,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
147,39401681143-4,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
148,39401653073-8,M,Guaíba,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
149,39401647440-2,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
150,39401674472-4,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
151,39401685114-5,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
152,39401664564-8,M,Picos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
153,39401651304-0,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
154,39401667025-8,M,Pirassununga,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2016
155,39402683555-8,M,São Paulo,SP,2-Autoavaliação,2,São Paulo - SP,2016
156,39401639450-8,M,Rio Negro,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
157,39401671181-1,M,Santo André,SP,1-Mestrado/Doutorado,1,Santo André - SP,2016
