INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
39401673171-6,M,Arequipa,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
39401645886-1,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
39401663587-8,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401651770-6,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
39401671273-0,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39402640298-8,M,Cuiabá,MT,2-Autoavaliação,2,Cuiabá - MT,2016
39401684751-5,F,Manaus,AM,1-Mestrado/Doutorado,1,Manaus - AM,2016
39402648273-2,M,São Paulo,SP,2-Autoavaliação,2,São Paulo - SP,2016
39401670049-5,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401659559-6,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401665284-9,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401646018-2,M,Mineiros,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401673877-7,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
39401638837-4,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró - RN,2016
39401660754-9,M,Pederneiras,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
39401668559-5,M,Fazenda Rio Grande,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401652592-4,M,Franco da Rocha,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401673697-9,M,Ponta Grossa,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401656929-1,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39402684486-1,M,Embu das Artes,SP,2-Autoavaliação,2,São Paulo - SP,2016
39401668469-6,M,Viçosa,MG,1-Mestrado/Doutorado,1,Viçosa - MG,2016
39401683945-5,M,Aracaju,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
39401640817-2,M,Maracanaú,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
39401672687-4,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401670914-6,F,Caiapônia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401684368-4,F,Recife,PE,1-Mestrado/Doutorado,1,Campinas - SP,2016
39401685041-2,F,Guarulhos,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401636192-0,F,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória - ES,2016
39401641939-2,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401639220-9,F,Ilhéus,BA,1-Mestrado/Doutorado,1,Salvador - BA,2016
39401673403-0,F,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401635126-6,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401648230-6,M,Várzea Grande,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
39401669447-6,M,Arapiraca,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
39401654892-9,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
39402672370-8,M,Rio de Janeiro,RJ,2-Autoavaliação,2,Rio de Janeiro - RJ,2016
39401650146-1,M,Santo André,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401640424-1,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
39401636601-2,M,São José,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39401672794-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401660726-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401642891-0,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
39401672387-2,M,Catanduva,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401638792-6,M,Icó,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
39401661226-4,M,Alegrete,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2016
39401671086-4,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
