,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Matemática Discreta,NOTA Cálculo Diferencial Integral,NOTA Álgebra Linear,NOTA Geometria Analítica,NOTA Análise Combinatória,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Organização de Arquivos e Dados,NOTA Técnicas de Programação,NOTA Circuitos Digitais,NOTA Análise de Algoritmos,NOTA Teoria dos Grafos,"NOTA Linguagens Formais, Autômatos e Computabilidade",NOTA Algoritmos e Estruturas de Dados,NOTA Linguagens de Programação,NOTA Sistemas Operacionais,NOTA Arquitetura e Organização de Computadores,NOTA Rede de Computadores,NOTA Computação Gráfica,NOTA Inteligência Artificial,NOTA Engenharia de Software,NOTA Sistemas Distribuídos,NOTA Compiladores,NOTA Processamento de Imagens,NOTA Banco de Dados,NOTA TOTAL TO
0,Mestrado/Doutorado,Informática na Educação,39401673171-6,"1,00E+11",3.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,42.0
1,Mestrado/Doutorado,Teoria da Computação,39401645886-1,"1,02E+11",3.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,45.0
2,Mestrado/Doutorado,TEORIA DA COMPUTAÇÃO,39401663587-8,"1,01E+11",3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,50.0
3,Mestrado/Doutorado,Sistemas Distribuídos e Programação Concorrente,39401651770-6,"1,05E+11",0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,28.0
4,Mestrado/Doutorado,Teoria da Computação,39401671273-0,"1,01E+11",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,24.0
5,Autoavaliação,,39402640298-8,"1,01E+11",1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,30.0
6,Mestrado/Doutorado,Banco de Dados e Recuperação de Informação,39401684751-5,"1,03E+11",0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,32.0
7,Autoavaliação,,39402648273-2,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mestrado/Doutorado,Sistemas Distribuídos,39401670049-5,"1,01E+11",1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,43.0
9,Mestrado/Doutorado,Computação Visual e Inteligente,39401659559-6,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mestrado/Doutorado,Fundamentos da Computação,39401665284-9,"1,01E+11",1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,37.0
11,Mestrado/Doutorado,"PROCESSAMENTO GRÁFICO, INTERAÇÃO E COMPUTAÇÃO APLICADA",39401646018-2,"1,02E+11",0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,26.0
12,Mestrado/Doutorado,Computação Aplicada a Biociências,39401673877-7,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mestrado/Doutorado,Fundamentos da Computação,39401638837-4,"1,03E+11",1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0
14,Mestrado/Doutorado,Sistemas de automação e robótica,39401660754-9,"1,00E+11",1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,27.0
15,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401668559-5,"1,02E+11",0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,18.0
16,Mestrado/Doutorado,Interfaces Humano-Computador,39401652592-4,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401673697-9,"1,02E+11",1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,23.0
18,Mestrado/Doutorado,Sistemas de Computação,39401656929-1,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
19,Autoavaliação,,39402684486-1,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
20,Mestrado/Doutorado,Engenharia de software,39401668469-6,"1,05E+11",2.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,52.0
21,Mestrado/Doutorado,Inteligência Computacional,39401683945-5,"1,00E+11",1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,39.0
22,Mestrado/Doutorado,Sistemas de Apoio a Decisão,39401640817-2,"1,02E+11",1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,34.0
23,Mestrado/Doutorado,Inteligência Artificial,39401672687-4,"1,04E+11",2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,53.0
24,Mestrado/Doutorado,ENGENHARIA DE SOFTWARE,39401670914-6,"1,02E+11",2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,23.0
25,Mestrado/Doutorado,Informática na Educação,39401684368-4,"1,01E+11",1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,24.0
26,Mestrado/Doutorado,Gestão da Tecnologia da Informação,39401685041-2,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mestrado/Doutorado,Paradigmas de Programação Paralela e Distribuída,39401636192-0,"1,05E+11",3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,32.0
28,Mestrado/Doutorado,Informática na Educação,39401641939-2,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mestrado/Doutorado,SISTEMAS DE INFORMAÇÃO,39401639220-9,"1,04E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mestrado/Doutorado,Representação de Conhecimento e Raciocínio,39401673403-0,"1,04E+11",2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,20.0
31,Mestrado/Doutorado,Sistemas Distribuídos,39401635126-6,"1,02E+11",1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,25.0
32,Mestrado/Doutorado,Bancos de Dados,39401669447-6,"1,03E+11",1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,33.0
33,Mestrado/Doutorado,BANCOS DE DADOS E IMAGENS,39401654892-9,"1,05E+11",3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,32.0
34,Autoavaliação,,39402672370-8,"1,04E+11",2.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,33.0
35,Mestrado/Doutorado,Sistemas de Computação,39401650146-1,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
36,Mestrado/Doutorado,Engenharia de Sistemas Computacionais,39401640424-1,"1,03E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mestrado/Doutorado,Avaliação e Melhoria de Processos de Software,39401636601-2,"1,02E+11",0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,31.0
38,Mestrado/Doutorado,Inteligência Artificial,39401672794-0,"1,05E+11",0.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,29.0
39,Mestrado/Doutorado,Sistemas Computacionais,39401660726-4,"1,05E+11",1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,30.0
40,Mestrado/Doutorado,Metodologia da Computação,39401642891-0,"1,05E+11",1.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,35.0
41,Mestrado/Doutorado,Inteligência Artificial e Banco de Dados,39401672387-2,"1,05E+11",1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,35.0
42,Mestrado/Doutorado,Sistemas de Informação,39401638792-6,"1,02E+11",1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,26.0
43,Mestrado/Doutorado,Sistemas Paralelos e Distribuídos,39401661226-4,"1,04E+11",1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,26.0
44,Mestrado/Doutorado,Tecnologia da Informação,39401671086-4,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mestrado/Doutorado,Análise de Padrões em Dados,39401661866-0,"1,00E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mestrado/Doutorado,Engenharia de Software,39401642551-6,"1,01E+11",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,33.0
47,Mestrado/Doutorado,Sistemas Distribuídos,39401639853-7,"1,05E+11",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,29.0
48,Mestrado/Doutorado,SISTEMAS EMBARCADOS,39401682161-7,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
49,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401661261-7,"1,02E+11",2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,33.0
50,Mestrado/Doutorado,Inteligência Computacional,39401684426-9,"1,01E+11",1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,25.0
51,Autoavaliação,,39402670349-0,"1,05E+11",0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,30.0
52,Mestrado/Doutorado,INTELIGÊNCIA COMPUTACIONAL  ,39401672747-9,"1,04E+11",1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,40.0
53,Mestrado/Doutorado,Engenharia de Software,39401641172-7,"1,05E+11",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,34.0
54,Mestrado/Doutorado,Engenharia de software,39401641450-2,"1,01E+11",0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,25.0
55,Mestrado/Doutorado,Engenharia de Software,39401670721-0,"1,05E+11",0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,25.0
56,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401673519-6,"1,01E+11",1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,29.0
57,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401670225-3,"1,02E+11",2.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,27.0
58,Mestrado/Doutorado,ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,39401638586-3,"1,02E+11",0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,23.0
59,Mestrado/Doutorado,Engenharia  de software,39401666672-6,"1,05E+11",2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0
60,Mestrado/Doutorado,Verificação e Teste de Software,39401659624-9,"1,01E+11",2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,26.0
61,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401672683-4,"1,05E+11",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,23.0
62,Mestrado/Doutorado,Sistema de Informação,39401664163-9,"1,01E+11",1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,27.0
63,Mestrado/Doutorado,Aprendizado de Máquina,39401679008-0,"1,02E+11",2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,34.0
64,Mestrado/Doutorado,Modelagem e Métodos Computacionais,39401672933-5,"1,02E+11",0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,28.0
65,Mestrado/Doutorado,Teoria Aplicada à Computação,39401683053-8,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mestrado/Doutorado,MÍDIA E INTERAÇÃO,39401665720-6,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
67,Mestrado/Doutorado,Engenharia de Software e Usabilidade,39401670800-0,"1,01E+11",1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,23.0
68,Mestrado/Doutorado,Computação Inteligente,39401683173-1,"1,02E+11",0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,32.0
69,Autoavaliação,,39402669789-4,"1,03E+11",1.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,47.0
70,Mestrado/Doutorado,SISTEMAS DE COMPUTAÇÃO,39401639884-1,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mestrado/Doutorado,Otimização e Inteligência Computacional,39401636687-8,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
