,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Algebra Linear,NOTA Análise Combinatória,NOTA Cálculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algorítmos,NOTA Algorítmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens Formais, Autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
0,Mestrado/Doutorado,Processamento de Imagens,42101834661-2,"1,004E+11",2.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,44.0
1,Mestrado/Doutorado,Otimização e Inteligência Computacional,42101834363-0,"1,037E+11",1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,39.0
2,Mestrado/Doutorado,Segurança e Criptografia Aplicada,42101835486-0,"1,014E+11",1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,29.0
3,Mestrado/Doutorado,Inteligência Computacional,42101829873-1,"1,05E+11",2.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,34.0
4,Mestrado/Doutorado,Banco de Dados e Imagens,42101828039-4,"1,023E+11",1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,27.0
5,Mestrado/Doutorado,Sistemas de Informação e Computação,42101832143-7,"1,016E+11",1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,21.0
6,Mestrado/Doutorado,Computação Aplicada,42101834456-0,"1,047E+11",1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,27.0
7,Mestrado/Doutorado,Sistemas Distribuídos,42101828876-5,"1,007E+11",0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,19.0
8,Mestrado/Doutorado,Sistemas de Computação,42101835531-7,"1,035E+11",2.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,36.0
9,Mestrado/Doutorado,"Fundamentos do Processamento Gráfico,",42101809412-2,"1,012E+11",3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,23.0
10,Mestrado/Doutorado,Computação Visual,42101832471-3,"1,053E+11",2.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,33.0
11,Mestrado/Doutorado,Sistemas de Informação,42101827913-7,"1,003E+11",1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,25.0
12,Mestrado/Doutorado,"Lógica, Inteligência Artificial e Métodos Formais",42101812617-8,"1,012E+11",1.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,33.0
13,Autoavaliação,,42102835291-8,"1,039E+11",3.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,34.0
14,Mestrado/Doutorado,Sistemas de Informação e Banco de Dados,42101809899-7,"1,03E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mestrado/Doutorado,Aprendizado de Máquina,42101809829-0,"1,051E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mestrado/Doutorado,Engenharia de Software,42101820159-7,"1,027E+11",1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,24.0
17,Mestrado/Doutorado,"Engenharia de Software, Banco de Dados e Informática e Educação",42101834552-7,"1,015E+11",1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,24.0
18,Mestrado/Doutorado,Gestão da Informação,42101829471-2,"1,007E+11",1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,28.0
19,Mestrado/Doutorado,Inteligência Artificial,42101834498-2,"1,039E+11",3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,53.0
20,Mestrado/Doutorado,Engenharia de Software,42101834445-1,"1,023E+11",2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,25.0
21,Mestrado/Doutorado,Computação básica,42101809825-0,"1,043E+11",0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,19.0
22,Autoavaliação,,42102835363-0,"1,016E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
23,Mestrado/Doutorado,Gestão da Informação,42101824968-9,"1,007E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
24,Mestrado/Doutorado,Banco de Dados,42101833252-9,"1,01E+11",1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,33.0
25,Autoavaliação,,42102830241-5,"1,043E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mestrado/Doutorado,Computação Visual e Inteligente,42101810934-3,"1,03E+11",1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0
27,Mestrado/Doutorado,Inteligência Computacional,42101822032-6,"1,039E+11",1.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,35.0
