,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Algebra Linear,NOTA Analise Combinatória,NOTA Cálculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algoritmos,NOTA Algorítmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens formais, autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
0,Mestrado/Doutorado,Simulação das interações modeladas,47101159582-3,"1,005E+11",1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,25.0
1,Mestrado/Doutorado,Redes de Comunicação,47101147117-9,"1,007E+11",0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,34.0
2,Autoavaliação,,47102146115-6,"1,016E+11",0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,29.0
3,Mestrado/Doutorado,Sistemas de Computação,47101171407-0,"1,055E+11",1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,23.0
4,Mestrado/Doutorado,Bancos de Dados,47101167055-5,"1,018E+11",0.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,36.0
5,Mestrado/Doutorado,Computação Aplicada,47101174606-4,"1,052E+11",0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,29.0
6,Mestrado/Doutorado,"Robótica, Visão computacional e Processamento gráfico",47101156912-6,"1,053E+11",1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,34.0
7,Autoavaliação,,47102176759-9,"1,032E+11",0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,27.0
8,Mestrado/Doutorado,Sistemas de Informação e Banco de Dados,47101147437-7,"1,01E+11",2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,37.0
9,Mestrado/Doutorado,Segurança Computacional,47101175736-2,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mestrado/Doutorado,Sistemas Inteligentes,47101173117-0,"1,011E+11",1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,23.0
11,Mestrado/Doutorado,Sistemas de Computação,47101171398-7,"1,007E+11",1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,26.0
12,Mestrado/Doutorado,Engenharia de software,47101175830-0,"1,029E+11",1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,28.0
13,Mestrado/Doutorado,Computação Aplicada a Biociências,47101153709-4,"1,053E+11",0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,25.0
