,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Álgebra Linear,NOTA Análise Combinatória,NOTA Calculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algoritmos,NOTA Algoritmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens formais, autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
0,Mestrado/Doutorado,"Lógica, Inteligência Artificial e Métodos Formais",51801393615-7,"1,05101E+11",3.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,38.0
1,Mestrado/Doutorado,Redes e Sistemas Distribuídos,51801392147-9,"1,01601E+11",3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,44.0
2,Mestrado/Doutorado,Sistemas de Computação,51801384165-2,"1,02001E+11",2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,36.0
3,Mestrado/Doutorado,Sistemas Embarcados,51801397157-9,"1,05601E+11",2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,27.0
4,Mestrado/Doutorado,Sistemas Computacionais Complexos,51801377987-0,"1,05101E+11",3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0
5,Mestrado/Doutorado,Tecnologia da Informação,51801362114-8,"1,02401E+11",1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,30.0
6,Mestrado/Doutorado,Interação Homem-Computador,51801396036-9,"1,01201E+11",1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,21.0
7,Mestrado/Doutorado,Metodologia e Técnicas da Computação \ Engenharia de Software,51801377675-0,"1,05201E+11",1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,17.0
8,Mestrado/Doutorado,Sistemas Distribuídos,51801355653-0,"1,01101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
9,Autoavaliação,,51802397252-0,"1,01601E+11",0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,24.0
10,Mestrado/Doutorado,Gestão da Informação,51801389018-6,"1,00701E+11",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,20.0
11,Mestrado/Doutorado,Inteligência Artificial,51801363075-6,"1,03901E+11",0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,26.0
12,Mestrado/Doutorado,Redes e Sistemas Distribuidos,51801386488-3,"1,03001E+11",0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,21.0
13,Mestrado/Doutorado,Inteligência Computacional,51801393644-1,"1,04701E+11",2.0,1.0,3.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,32.0
14,Mestrado/Doutorado,Ciências de Computação,51801392239-8,"1,02001E+11",0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,36.0
15,Mestrado/Doutorado,Otimização e Raciocínio Automático,51801356415-0,"1,00401E+11",3.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,39.0
16,Mestrado/Doutorado,Segurança e Sistemas Distribuídos.,51801354044-2,"1,03501E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mestrado/Doutorado,Metodologia e Técnicas da Computação \ Banco de Dados,51801396932-4,"1,01901E+11",1.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0
18,Autoavaliação,,51802394510-0,"1,01001E+11",0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,20.0
19,Mestrado/Doutorado,Inteligencia Computacional,51801353989-4,"1,00701E+11",0.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,24.0
20,Mestrado/Doutorado,"Arquitetura de Computadores, Compiladores e Design de Hardware",51801354787-6,"1,05301E+11",2.0,1.0,2.0,3.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,38.0
21,Mestrado/Doutorado,Engenharia de Software e Sistemas de Informação / Sistemas Web e Multimídia Interativos,51801394442-3,"1,03701E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mestrado/Doutorado,Bancos de Dados,51801393924-7,"1,02001E+11",0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,26.0
23,Autoavaliação,,51802374425-0,"1,01901E+11",1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,23.0
24,Mestrado/Doutorado,Inteligência artificial,51801395442-0,"1,05301E+11",2.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,28.0
25,Mestrado/Doutorado,Sistemas de Computação,51801354270-1,"1,01501E+11",0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0
