,NÚMERO DE INSCRIÇÃO,NUM,SITUAÇÃO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,39401673171,"1,003E+11",Presente,E,A,B,D,A,A,C,,E,C,A,E,D,D,A,D,D,B,B,B,A,D,E,E,A,D,A,A,,,B,C,B,,,A,A,A,D,E,,A,C,,D,B,D,E,B,B,D,A,B,B,C,C,E,D,C,A,D,A,A,A,D,C,A,,B,D
1,39401645886,"1,018E+11",Presente,B,A,E,C,A,A,C,E,E,C,A,E,C,D,D,D,D,E,B,B,B,B,B,D,A,D,A,C,D,E,B,A,B,D,D,A,A,C,D,C,A,B,A,E,E,A,C,E,C,D,C,A,A,A,D,A,E,A,E,C,D,A,C,A,E,C,C,C,C,A
2,39401663587,"1,009E+11",Presente,E,A,B,D,A,A,C,D,E,B,E,E,D,D,D,D,B,E,B,B,A,B,E,E,A,D,A,C,D,C,B,A,B,E,D,A,A,A,D,E,A,C,A,A,B,E,E,C,E,D,C,A,A,A,D,E,D,A,C,A,D,A,A,A,E,C,A,C,B,D
3,39401651770,"1,045E+11",Presente,E,E,D,B,D,B,D,D,D,C,E,E,C,E,C,B,A,D,E,D,A,A,B,E,A,E,B,C,C,C,B,A,B,D,D,C,A,B,E,D,A,E,D,E,B,C,C,E,C,D,D,A,B,A,D,E,E,D,C,D,D,A,E,E,E,C,A,B,B,C
4,39401671273,"1,005E+11",Presente,B,A,D,C,E,D,B,D,E,D,D,E,B,C,B,B,D,C,A,D,E,B,E,E,A,A,E,C,E,B,B,C,B,A,C,A,A,C,E,A,E,B,D,C,D,C,B,E,E,E,E,D,A,C,D,C,E,D,C,A,C,E,E,A,E,C,C,C,A,D
5,39402640298,"1,014E+11",Presente,E,A,D,B,E,B,D,C,E,B,E,E,D,B,C,B,E,A,B,D,A,E,A,A,*,C,A,C,C,B,B,E,E,B,A,A,B,A,D,E,A,B,A,D,E,A,A,E,E,D,E,A,B,A,D,C,C,D,E,B,D,A,D,A,E,C,C,C,B,D
6,39401684751,"1,029E+11",Presente,E,A,C,D,C,D,B,*,A,A,B,E,D,B,C,A,B,C,E,E,E,A,E,E,A,C,D,C,E,C,B,A,B,C,D,D,A,C,A,A,A,B,B,D,D,A,A,E,D,D,A,E,A,A,C,A,D,C,C,E,E,A,E,A,E,C,A,D,B,A
8,39401670049,"1,011E+11",Presente,E,A,C,C,C,A,C,C,C,C,A,E,E,E,A,D,C,E,B,B,B,A,E,E,A,D,D,C,D,C,B,D,D,C,E,A,A,B,D,C,C,A,A,E,B,A,B,E,C,D,C,D,C,A,B,C,A,E,E,A,D,A,C,A,E,C,A,C,B,C
10,39401665284,"1,009E+11",Presente,A,A,C,B,B,B,D,E,C,C,D,E,E,B,D,D,B,E,B,B,E,C,C,B,A,D,D,C,A,C,B,A,D,E,B,A,A,B,D,C,A,B,A,E,E,A,D,E,B,B,A,A,D,A,E,E,A,E,D,A,D,B,D,A,E,C,A,B,B,B
11,39401646018,"1,02E+11",Presente,A,C,C,B,E,D,E,D,D,C,A,E,D,C,E,B,A,E,A,D,A,B,E,E,A,C,E,C,C,C,A,C,C,C,D,D,A,B,E,E,B,D,B,E,B,A,D,E,D,D,C,D,A,A,B,D,D,D,D,B,A,A,C,C,A,E,A,B,B,D
