,NÚMERO DE INSCRIÇÃO,SITUAÇÃO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,ANO
1,39401645886,Presente,B,A,E,C,A,A,C,E,E,C,A,E,C,D,D,D,D,E,B,B,B,B,B,D,A,D,A,C,D,E,B,A,B,D,D,A,A,C,D,C,A,B,A,E,E,A,C,E,C,D,C,A,A,A,D,A,E,A,E,C,D,A,C,A,E,C,C,C,C,A,2016
2,39401663587,Presente,E,A,B,D,A,A,C,D,E,B,E,E,D,D,D,D,B,E,B,B,A,B,E,E,A,D,A,C,D,C,B,A,B,E,D,A,A,A,D,E,A,C,A,A,B,E,E,C,E,D,C,A,A,A,D,E,D,A,C,A,D,A,A,A,E,C,A,C,B,D,2016
3,39401651770,Presente,E,E,D,B,D,B,D,D,D,C,E,E,C,E,C,B,A,D,E,D,A,A,B,E,A,E,B,C,C,C,B,A,B,D,D,C,A,B,E,D,A,E,D,E,B,C,C,E,C,D,D,A,B,A,D,E,E,D,C,D,D,A,E,E,E,C,A,B,B,C,2016
4,39401671273,Presente,B,A,D,C,E,D,B,D,E,D,D,E,B,C,B,B,D,C,A,D,E,B,E,E,A,A,E,C,E,B,B,C,B,A,C,A,A,C,E,A,E,B,D,C,D,C,B,E,E,E,E,D,A,C,D,C,E,D,C,A,C,E,E,A,E,C,C,C,A,D,2016
5,39402640298,Presente,E,A,D,B,E,B,D,C,E,B,E,E,D,B,C,B,E,A,B,D,A,E,A,A,*,C,A,C,C,B,B,E,E,B,A,A,B,A,D,E,A,B,A,D,E,A,A,E,E,D,E,A,B,A,D,C,C,D,E,B,D,A,D,A,E,C,C,C,B,D,2016
6,39401684751,Presente,E,A,C,D,C,D,B,*,A,A,B,E,D,B,C,A,B,C,E,E,E,A,E,E,A,C,D,C,E,C,B,A,B,C,D,D,A,C,A,A,A,B,B,D,D,A,A,E,D,D,A,E,A,A,C,A,D,C,C,E,E,A,E,A,E,C,A,D,B,A,2016
8,39401670049,Presente,E,A,C,C,C,A,C,C,C,C,A,E,E,E,A,D,C,E,B,B,B,A,E,E,A,D,D,C,D,C,B,D,D,C,E,A,A,B,D,C,C,A,A,E,B,A,B,E,C,D,C,D,C,A,B,C,A,E,E,A,D,A,C,A,E,C,A,C,B,C,2016
10,39401665284,Presente,A,A,C,B,B,B,D,E,C,C,D,E,E,B,D,D,B,E,B,B,E,C,C,B,A,D,D,C,A,C,B,A,D,E,B,A,A,B,D,C,A,B,A,E,E,A,D,E,B,B,A,A,D,A,E,E,A,E,D,A,D,B,D,A,E,C,A,B,B,B,2016
11,39401646018,Presente,A,C,C,B,E,D,E,D,D,C,A,E,D,C,E,B,A,E,A,D,A,B,E,E,A,C,E,C,C,C,A,C,C,C,D,D,A,B,E,E,B,D,B,E,B,A,D,E,D,D,C,D,A,A,B,D,D,D,D,B,A,A,C,C,A,E,A,B,B,D,2016
13,39401638837,Presente,D,A,D,E,D,B,E,E,B,A,E,E,E,D,B,E,B,C,B,B,B,A,D,A,A,A,E,C,B,C,B,D,E,D,E,A,A,B,D,E,A,D,A,E,E,C,B,C,E,D,C,B,C,A,E,C,B,D,E,B,E,A,B,B,E,C,C,D,C,D,2016
14,39401660754,Presente,E,B,E,B,C,B,B,B,E,A,E,E,B,A,B,A,B,E,B,D,A,A,B,A,A,B,B,C,D,D,B,C,E,B,E,D,A,C,B,A,A,C,D,A,B,D,D,E,B,D,E,A,B,A,D,C,D,D,C,A,A,A,C,A,D,C,A,B,B,C,2016
15,39401668559,Presente,A,A,E,C,A,E,C,E,A,C,D,E,A,E,C,B,A,A,D,A,B,A,E,A,A,C,A,C,B,D,A,A,E,E,A,E,C,D,E,A,B,A,B,B,A,D,A,D,E,B,D,B,A,B,B,E,D,B,D,B,E,B,A,E,A,A,B,D,B,A,2016
17,39401673697,Presente,E,B,E,C,A,B,D,A,C,B,D,E,C,D,A,A,B,C,B,D,E,B,D,E,A,B,B,C,D,C,B,C,B,E,A,D,A,D,B,E,D,E,A,D,C,C,E,D,E,B,E,D,B,D,E,C,E,A,D,A,D,E,C,E,E,C,A,D,B,E,2016
20,39401668469,Presente,E,A,C,D,A,A,C,D,E,C,A,E,D,E,D,D,E,E,B,B,A,D,E,E,A,D,E,C,B,C,B,A,B,E,D,A,A,C,D,C,A,C,A,E,B,C,A,E,C,D,C,B,E,E,B,A,A,E,C,D,D,E,A,A,E,C,A,C,B,D,2016
21,39401683945,Presente,E,A,C,E,C,D,B,C,A,C,E,E,E,A,D,D,C,A,B,B,B,A,B,E,A,B,A,C,A,E,E,A,B,E,C,A,A,C,D,C,B,B,C,A,E,C,E,A,A,B,C,E,A,E,C,C,A,D,C,A,D,A,D,A,D,C,A,C,B,A,2016
22,39401640817,Presente,B,A,C,C,A,A,C,E,E,A,A,E,D,E,D,B,B,E,A,E,A,B,D,C,A,E,A,C,A,E,B,A,B,C,A,A,A,A,D,B,C,A,D,A,A,C,C,E,E,B,A,D,A,B,C,A,A,A,C,A,E,A,A,A,E,B,B,A,D,D,2016
23,39401672687,Presente,E,A,A,D,A,A,C,E,E,C,A,E,D,C,D,D,E,E,B,B,A,B,E,E,A,D,A,C,D,C,B,A,D,E,A,A,A,C,D,E,A,B,A,E,D,C,A,C,B,D,A,B,A,E,D,A,B,A,C,A,D,A,C,A,E,C,A,C,B,E,2016
24,39401670914,Presente,C,C,C,A,C,C,C,C,E,E,C,E,C,D,B,B,E,B,C,C,C,C,B,E,B,A,C,A,E,C,B,C,B,B,D,A,A,C,E,B,A,B,B,A,D,C,C,E,C,B,C,E,A,C,D,C,D,D,C,E,A,A,A,A,D,C,A,E,B,C,2016
25,39401684368,Presente,E,A,D,B,B,D,C,B,E,E,D,A,C,C,B,E,C,D,C,D,D,C,E,A,A,C,A,D,D,C,E,E,C,D,C,D,C,E,E,D,C,B,A,D,D,B,B,B,D,A,B,A,A,A,E,A,E,A,E,A,B,A,C,C,A,C,B,D,B,A,2016
27,39401636192,Presente,E,A,A,D,A,A,B,B,E,C,C,D,D,D,D,D,B,E,B,B,B,A,D,B,B,A,B,C,D,C,B,A,E,E,B,A,A,E,E,B,A,E,C,C,B,E,B,E,A,B,D,D,A,A,D,B,B,D,C,A,D,A,C,A,D,C,B,E,D,C,2016
30,39401673403,Presente,C,A,D,A,D,C,A,C,E,B,A,E,E,D,C,C,E,A,A,D,A,B,D,A,E,E,E,C,C,B,B,B,A,C,D,E,A,E,E,E,E,C,B,D,D,D,B,B,A,B,C,A,B,A,D,C,E,D,A,B,E,A,A,A,E,C,C,B,B,D,2016
31,39401635126,Presente,C,B,D,E,C,A,D,D,E,D,A,E,B,A,E,B,E,B,D,E,B,A,B,E,A,C,A,C,E,B,B,C,B,C,D,A,B,B,D,A,E,A,A,A,C,B,B,D,E,B,C,B,C,A,C,C,C,D,A,B,D,A,C,A,E,B,C,C,A,D,2016
32,39401648230,Presente,E,A,C,D,A,A,C,B,E,C,A,E,C,B,D,D,E,E,B,B,A,D,E,E,A,D,D,C,A,C,A,A,B,E,D,A,A,C,D,E,B,B,A,E,C,A,C,C,B,D,E,D,A,E,E,E,B,E,C,B,D,A,B,A,E,*,A,C,B,C,2016
33,39401669447,Presente,E,A,B,B,B,A,C,D,A,C,E,E,E,D,D,B,A,E,B,C,B,A,B,E,A,B,B,C,B,C,B,D,A,D,E,B,B,A,D,B,A,B,D,A,C,D,E,B,C,E,D,C,A,D,B,A,C,A,C,A,D,A,E,E,E,C,C,A,B,A,2016
34,39401654892,Presente,E,A,B,C,B,C,E,A,E,D,E,E,C,D,B,D,B,D,B,C,A,E,A,E,A,E,A,C,D,E,B,D,B,C,A,C,C,B,D,A,B,B,C,E,B,C,B,D,B,D,D,D,A,A,E,E,E,D,C,A,C,A,E,D,B,C,D,B,B,D,2016
35,39402672370,Presente,E,C,C,E,A,A,B,C,C,C,C,E,C,D,D,D,C,D,B,C,A,A,A,E,A,D,A,C,C,C,B,A,D,B,A,A,A,E,D,B,A,E,D,C,E,B,C,D,C,C,C,B,C,A,C,C,D,D,E,A,C,A,C,A,E,C,A,B,B,D,2016
38,39401636601,Presente,E,B,C,D,A,D,A,C,C,D,A,E,B,A,C,A,C,E,B,E,B,B,E,E,B,B,D,C,D,B,B,E,B,C,E,A,E,C,D,C,C,D,B,E,C,B,D,E,B,E,C,B,D,E,B,C,D,D,C,A,C,A,D,A,E,D,C,B,B,C,2016
39,39401672794,Presente,E,A,B,C,C,A,C,C,C,C,C,E,D,C,B,C,C,B,B,B,B,C,D,D,A,B,B,C,D,D,B,A,B,D,D,E,A,C,E,D,D,D,D,B,D,D,D,D,D,D,A,D,D,E,A,E,A,A,A,A,A,A,A,B,B,C,A,A,B,D,2016
40,39401660726,Presente,E,*,E,D,D,D,C,E,E,C,A,E,D,B,B,E,B,A,D,C,A,B,E,B,B,C,A,C,A,C,B,C,B,D,D,C,C,B,E,D,B,D,A,C,B,C,B,D,E,B,D,D,A,A,B,E,B,D,C,C,A,A,C,A,E,C,A,C,A,D,2016
41,39401642891,Presente,E,A,C,D,B,B,C,A,D,D,E,E,D,A,B,D,A,E,B,B,B,A,C,E,A,B,D,C,D,C,B,A,B,E,A,C,A,C,E,E,B,B,A,C,D,C,E,A,E,B,B,D,A,C,D,C,B,D,E,A,D,A,C,A,E,C,C,B,B,C,2016
42,39401672387,Presente,E,E,D,C,D,A,C,D,D,C,E,E,C,B,D,D,C,E,B,B,A,B,C,B,A,D,D,C,A,D,B,D,E,C,E,A,A,E,D,C,A,E,C,E,B,E,C,D,B,E,C,D,A,A,E,C,D,D,D,D,D,A,A,A,E,C,A,D,B,C,2016
43,39401638792,Presente,E,B,C,E,C,A,A,C,E,B,C,E,D,B,D,C,B,E,B,D,E,E,B,A,A,D,E,C,E,C,B,E,E,C,A,A,B,E,C,C,A,B,D,C,B,E,B,D,C,B,C,B,C,A,E,E,A,D,A,C,D,A,C,E,E,D,C,C,B,D,2016
44,39401661226,Presente,E,A,D,D,C,B,D,B,C,D,E,E,E,B,C,D,B,E,B,C,A,E,E,E,A,D,D,C,D,D,B,D,C,C,D,A,A,B,D,E,A,A,E,B,E,C,A,A,C,E,D,C,B,A,D,C,A,D,B,C,A,A,C,A,D,B,E,B,B,D,2016
47,39401642551,Presente,C,A,C,C,C,A,B,C,C,C,C,E,B,D,A,D,B,E,B,C,E,D,E,E,A,A,D,C,C,D,B,D,B,D,A,A,A,C,D,E,A,C,A,D,E,C,C,D,D,B,C,E,D,D,B,A,B,D,C,A,A,A,C,A,E,C,E,D,B,D,2016
48,39401639853,Presente,E,C,D,E,C,A,A,C,C,A,C,E,E,B,B,B,B,D,B,C,B,B,E,E,A,D,B,C,A,E,B,A,E,E,E,A,A,C,E,A,E,E,B,B,B,B,B,C,B,B,C,D,C,A,A,C,C,D,E,A,D,A,C,A,D,C,B,C,B,A,2016
50,39401661261,Presente,B,C,C,B,D,B,C,A,A,E,E,E,D,D,C,D,B,D,A,C,E,A,E,E,C,D,A,C,C,E,B,D,E,E,C,A,A,B,D,B,B,C,A,B,B,A,D,D,D,D,E,A,D,A,B,C,B,D,C,A,C,A,C,A,E,C,A,A,B,C,2016
51,39401684426,Presente,D,C,B,B,E,A,C,D,D,A,A,E,C,B,C,D,D,A,B,E,E,A,D,E,A,C,D,C,B,E,C,D,B,A,D,A,B,E,D,E,A,E,B,D,C,C,A,A,B,E,C,A,A,A,D,E,B,D,D,A,D,E,A,A,E,C,B,B,D,C,2016
52,39402670349,Presente,D,B,D,D,B,B,E,E,D,C,D,E,D,C,B,E,B,B,B,A,B,A,E,E,A,D,B,A,A,C,B,A,B,C,E,B,A,B,E,B,A,B,B,C,D,A,E,E,B,D,E,A,A,B,D,C,C,D,E,E,D,A,C,A,D,B,C,C,B,A,2016
53,39401672747,Presente,E,A,B,C,C,A,C,D,C,C,E,E,C,B,D,D,D,B,B,B,A,E,E,E,A,D,D,C,D,E,B,E,C,E,B,A,A,C,D,C,A,C,C,E,B,C,B,C,B,C,C,C,D,B,A,C,E,D,C,A,D,A,C,A,E,C,C,C,B,A,2016
54,39401641172,Presente,C,C,C,C,C,C,C,C,C,C,C,E,C,C,E,D,C,E,B,C,A,A,E,E,A,D,A,C,B,E,B,A,B,E,E,A,A,B,D,E,E,C,B,E,D,E,E,E,C,D,E,E,A,A,E,A,E,D,D,A,E,D,E,A,E,C,E,E,B,D,2016
55,39401641450,Presente,E,D,C,D,D,B,A,C,C,B,D,E,D,A,B,C,C,D,B,E,A,B,D,D,A,C,D,C,B,C,A,D,E,B,E,B,E,E,A,C,B,E,C,C,C,D,A,E,B,D,A,A,C,A,B,A,D,D,E,E,D,E,A,A,E,D,A,C,B,D,2016
56,39401670721,Presente,E,A,B,C,B,B,C,D,B,C,D,E,C,E,C,B,D,D,B,A,A,A,E,E,D,A,D,C,B,E,B,A,B,E,A,D,B,A,D,B,D,B,B,B,C,B,A,B,B,E,E,B,E,A,D,C,E,A,C,D,A,A,C,A,D,E,C,A,B,D,2016
57,39401673519,Presente,E,A,A,E,B,B,C,B,C,C,D,E,E,C,A,D,C,E,B,A,A,D,D,B,A,A,D,C,B,E,B,D,C,D,A,A,C,A,D,D,A,E,A,C,B,C,E,E,B,B,D,B,A,A,E,C,A,D,E,D,C,A,E,E,E,B,A,B,B,C,2016
58,39401670225,Presente,E,A,C,C,D,B,C,C,E,C,B,A,D,B,C,D,E,B,B,C,A,D,D,B,B,B,C,A,A,C,A,E,D,D,B,A,D,C,C,E,B,C,A,E,C,B,E,C,C,D,D,B,C,A,D,D,D,C,E,C,D,A,B,A,E,A,D,A,A,B,2016
59,39401638586,Presente,B,C,D,E,C,B,C,A,D,C,B,E,B,C,B,A,A,D,B,C,E,C,E,E,A,D,C,C,E,A,B,C,B,C,C,D,C,A,D,B,C,B,A,C,C,C,D,C,D,A,C,C,E,C,C,A,C,B,C,C,D,E,B,C,D,B,D,D,A,D,2016
60,39401666672,Presente,C,B,A,C,D,A,C,E,E,D,D,E,C,D,A,A,B,A,E,C,E,B,E,B,A,C,D,C,B,C,B,C,B,C,E,A,A,C,D,B,D,A,C,B,B,E,C,E,A,D,E,D,D,A,D,C,E,B,E,A,A,A,D,C,D,B,C,E,A,D,2016
61,39401659624,Presente,D,D,D,D,D,D,D,D,D,D,B,E,C,D,C,D,B,E,B,D,E,A,E,D,A,E,D,A,E,C,B,A,B,D,D,C,E,C,A,D,A,A,B,C,D,E,C,A,B,B,E,A,C,A,C,B,D,D,D,D,C,A,B,A,E,B,A,D,B,A,2016
62,39401672683,Presente,E,D,E,C,C,C,B,B,D,C,E,E,D,C,B,A,B,D,A,C,E,B,E,E,A,D,B,A,B,C,B,D,B,D,D,E,A,C,D,E,B,C,C,D,D,E,C,E,C,B,C,D,A,A,D,C,D,C,C,C,D,A,E,B,A,D,A,E,D,D,2016
63,39401664163,Presente,E,A,C,E,B,B,D,C,C,A,E,E,D,A,B,D,D,E,A,D,B,C,E,E,A,D,A,C,C,D,B,A,D,D,B,A,A,E,D,C,A,E,C,B,D,E,A,A,E,B,C,D,C,A,B,B,E,C,C,B,A,A,A,A,B,D,A,B,A,B,2016
64,39401679008,Presente,E,A,D,C,A,B,D,C,E,A,D,E,C,B,C,D,B,B,E,A,C,C,C,B,A,D,E,C,D,A,B,C,B,A,D,C,A,A,D,E,B,E,B,E,B,C,D,C,C,B,A,B,E,A,D,A,A,D,C,A,D,A,E,A,E,C,C,C,B,A,2016
65,39401672933,Presente,B,C,E,A,B,E,C,D,A,E,B,E,D,A,D,B,E,C,B,E,D,B,D,E,A,C,A,E,C,D,B,E,B,D,A,C,C,B,D,E,A,C,B,E,B,C,D,B,E,A,C,A,E,A,E,C,E,B,C,A,C,A,D,A,D,D,A,D,B,C,2016
68,39401670800,Presente,C,B,C,A,E,B,B,D,C,D,C,E,D,B,D,D,C,D,C,E,B,B,A,B,A,A,B,C,C,C,B,A,B,C,C,A,A,B,D,C,E,C,B,C,C,C,B,D,E,C,E,B,D,B,B,E,A,A,C,A,C,E,C,A,B,E,A,D,A,E,2016
69,39401683173,Presente,E,C,C,B,C,C,C,C,C,C,A,E,C,C,A,C,D,D,B,C,A,B,E,E,A,C,B,C,B,C,B,D,B,D,B,B,A,C,E,E,A,A,C,C,C,B,D,D,C,E,D,A,C,C,C,C,A,D,C,B,C,A,C,A,E,C,A,C,B,A,2016
70,39402669789,Presente,E,A,D,D,A,A,C,D,A,C,A,E,D,B,A,D,B,E,B,B,A,B,C,B,A,B,A,C,B,C,B,A,B,B,A,A,A,C,D,C,C,C,A,D,B,C,C,C,B,D,D,A,A,A,C,B,B,D,C,A,D,A,E,A,E,C,A,A,B,A,2016
73,39401675231,Presente,E,D,B,B,B,D,E,D,C,B,E,E,B,D,B,A,B,B,B,A,E,C,B,E,A,D,D,C,C,D,B,A,C,B,B,C,A,B,E,B,B,C,A,C,A,C,B,E,A,B,E,D,C,A,B,C,D,B,C,E,C,A,E,A,A,D,B,D,B,B,2016
