param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_splitter,mean_test_score,mean_train_score
gini,5,6,,3,10,best,69.36%,70.35%
entropy,5,4,20,13,5,best,69.05%,69.93%
gini,5,6,,1,10,best,69.00%,70.43%
entropy,5,4,20,15,10,best,68.91%,69.74%
entropy,4,4,20,9,2,best,68.87%,69.33%
gini,5,6,,3,5,best,68.87%,70.34%
log_loss,4,4,20,13,10,best,68.87%,69.41%
gini,7,4,20,5,2,best,68.86%,70.30%
log_loss,4,4,20,11,5,best,68.82%,69.37%
entropy,4,4,20,15,10,best,68.82%,69.38%
