param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_splitter,mean_test_score,mean_train_score
gini,9,8,20,10,2,random,69.41%,70.24%
gini,8,8,20,10,5,random,69.33%,70.26%
gini,8,7,25,11,5,best,69.31%,71.51%
gini,9,7,25,11,2,best,69.25%,71.55%
gini,10,7,20,10,5,best,69.25%,71.15%
gini,8,8,15,11,5,random,69.25%,69.78%
gini,9,8,20,11,5,random,69.25%,70.08%
gini,9,8,25,10,2,random,69.23%,70.56%
gini,10,7,20,9,5,best,69.20%,71.17%
entropy,9,8,25,11,5,random,69.20%,70.31%
